Name,Oracle,Trigger 1,Trigger 2,Trigger 3,Trigger 4,Trigger 5
"Jor Kadeen, the Prevailer",First strike.    Metalcraft - Creatures you control get +3/+0 as long as you control three or more artifacts.,,,,,
Joraga Bard,"Whenever Joraga Bard or another Ally enters the battlefield under your control, you may have Ally creatures you control gain vigilance until end of turn.",Optional,,,,
Joraga Treespeaker,"Level up 1G.    [LEVEL 1-4 ~ T: Add GG to your mana pool. ~ 1/2]    [LEVEL 5+ ~ Elves you control have ""T: Add GG to your mana pool. ~ 1/4]",,,,,
Joraga Warcaller,Multikicker 1G.    Joraga Warcaller enters the battlefield with a +1/+1 counter on it for each time it was kicked.    Other Elf creatures you control get +1/+1 for each +1/+1 counter on Joraga Warcaller.,,,,,
Jötun Grunt,Cumulative upkeep - Put two cards from a single graveyard on the bottom of their owner's library.,Mandatory,,,,
Jötun Owl Keeper,"Cumulative upkeep W or U.    When Jötun Owl Keeper dies, put a 1/1 white Bird creature token with flying onto the battlefield for each age counter on it.",Mandatory,Lapsing,,,
Journey of Discovery,"Choose one - Search your library for up to two basic land cards, reveal them, put them into your hand, then shuffle your library; or you may play up to two additional lands this turn.    Entwine 2G",,,,,
Journey to Nowhere,"When Journey to Nowhere enters the battlefield, exile target creature.    When Journey to Nowhere leaves the battlefield, return the exiled card to the battlefield under its owner's control.",Lapsing,Mandatory,,,
Journeyer's Kite,"3, T: Search your library for a basic land card, reveal it, and put it into your hand.  Then shuffle your library.",,,,,
Joven,"RRR, T: Destroy target noncreature artifact.",,,,,
Joven's Ferrets,"Whenever Joven's Ferrets attacks, it gets +0/+2 until end of turn.    At end of combat, tap all creatures that blocked Joven's Ferrets this turn.  They don't untap during their controller's next untap step.",,,,,
Joven's Tools,"4, T: Target creature can't be blocked this turn except by Walls.",,,,,
Jovial Evil,"Jovial Evil deals X damage to target opponent, where X is twice the number of white creatures that player controls.",,,,,
Joyous Respite,You gain 1 life for each land you control.,,,,,
Judge of Currents,"Whenever a Merfolk you control becomes tapped, you may gain 1 life.",Optional,,,,
Judge Unworthy,"Choose target attacking or blocking creature.  Scry 3, then reveal the top card of your library.  Judge Unworthy deals damage equal to that card's converted mana cost to that creature.",,,,,
"Jugan, the Rising Star","Flying.    When Jugan, the Rising Star dies, you may distribute five +1/+1 counters among any number of target creatures.",Optional,,,,
Juggernaut,Juggernaut attacks each turn if able.    Juggernaut can't be blocked by Walls.,,,,,
Juju Bubble,"Cumulative upkeep 1.    When you play a card, sacrifice Juju Bubble.    2: You gain 1 life.",,,,,
Jukai Messenger,Forestwalk,,,,,
Jump,Target creature gains flying until end of turn.,,,,,
Jund Battlemage,"B, T: Target player loses 1 life.    G, T: Put a 1/1 green Saproling creature token onto the battlefield.",,,,,
Jund Charm,Choose one - Exile all cards from target player's graveyard; or Jund Charm deals 2 damage to each creature; or put two +1/+1 counters on target creature.,,,,,
Jund Hackblade,"As long as you control another multicolored permanent, Jund Hackblade gets +1/+1 and has haste.",,,,,
Jund Panorama,"T: Add 1 to your mana pool.    1, T, Sacrifice Jund Panorama: Search your library for a basic Swamp, Mountain, or Forest card and put it onto the battlefield tapped.  Then shuffle your library.",,,,,
Jund Sojourners,"When you cycle Jund Sojourners or it dies, you may have it deal 1 damage to target creature or player.    Cycling 2R",Optional,,,,
Jungle Barrier,"Defender.    When Jungle Barrier enters the battlefield, draw a card.",,,,,
Jungle Basin,"Jungle Basin enters the battlefield tapped.    When Jungle Basin enters the battlefield, sacrifice it unless you return an untapped Forest you control to its owner's hand.    T: Add 1G to your mana pool.",,,,,
Jungle Lion,Jungle Lion can't block.,,,,,
Jungle Patrol,"1G, T: Put a 0/1 green Wall creature token with defender named Wood onto the battlefield.    Sacrifice a token named Wood: Add R to your mana pool.",,,,,
Jungle Shrine,"Jungle Shrine enters the battlefield tapped.    T: Add R, G, or W to your mana pool.",,,,,
Jungle Troll,R: Regenerate Jungle Troll.    G: Regenerate Jungle Troll.,,,,,
Jungle Weaver,"Reach, cycling 2",,,,,
Jungle Wurm,"Whenever Jungle Wurm becomes blocked, it gets -1/-1 until end of turn for each creature blocking it beyond the first.",,,,,
Juniper Order Advocate,"As long as Juniper Order Advocate is untapped, green creatures you control get +1/+1.",,,,,
Juniper Order Druid,T: Untap target land.,,,,,
Juniper Order Ranger,"Whenever another creature enters the battlefield under your control, put a +1/+1 counter on that creature and a +1/+1 counter on Juniper Order Ranger.",Lapsing,,,,
Junk Diver,"Flying.    When Junk Diver dies, return another target artifact card from your graveyard to your hand.",,,,,
Junk Golem,"Junk Golem enters the battlefield with three +1/+1 counters on it.    At the beginning of your upkeep, sacrifice Junk Golem unless you remove a +1/+1 counter from it.    1, Discard a card: Put a +1/+1 counter on Junk Golem.",,,,,
Junktroller,Defender.    T: Put target card from a graveyard on the bottom of its owner's library.,,,,,
Junkyo Bell,"At the beginning of your upkeep, you may have target creature you control get +X/+X until end of turn, where X is the number of creatures you control.  If you do, sacrifice that creature at the beginning of the next end step.",Optional,,,,
Juntu Stakes,Creatures with power 1 or less don't untap during their controllers' untap steps.,,,,,
Junún Efreet,"Flying.    At the beginning of your upkeep, sacrifice Junún Efreet unless you pay BB.",,,,,
Jushi Apprentice,"2U, T: Draw a card.  If you have nine or more cards in hand, flip Jushi Apprentice. // [Tomoya the Revealer] [Legendary Creature - Human Wizard] 3UU, T: Target player draws X cards, where X is the number of cards in your hand. [2/3]",,,,,
Just Fate,Cast Just Fate only during the declare attackers step and only if you've been attacked this step.    Destroy target attacking creature.,,,,,
Justice,"At the beginning of your upkeep, sacrifice Justice unless you pay WW.    Whenever a red creature or spell deals damage, Justice deals that much damage to that creature's or spell's controller.",,,,,
Juvenile Gloomwidow,"Reach, wither",,,,,
Juxtapose,"You and target player exchange control of the creature you each control with the highest converted mana cost.  Then exchange control of artifacts the same way.  If two or more permanents a player controls are tied for highest cost, their controller chooses one of them.",,,,,
Juzám Djinn,"At the beginning of your upkeep, Juzám Djinn deals 1 damage to you.",,,,,
Jwar Isle Refuge,"Jwar Isle Refuge enters the battlefield tapped.    When Jwar Isle Refuge enters the battlefield, you gain 1 life.    T: Add U or B to your mana pool.",Lapsing,,,,
Jwari Scuttler,,,,,,
Jwari Shapeshifter,You may have Jwari Shapeshifter enter the battlefield as a copy of any Ally creature on the battlefield.,,,,,
Kaalia of the Vast,"Flying.    Whenever Kaalia of the Vast attacks an opponent, you may put an Angel, Demon, or Dragon creature card from your hand onto the battlefield tapped and attacking that opponent.",,,,,
Kabira Crossroads,"Kabira Crossroads enters the battlefield tapped.    When Kabira Crossroads enters the battlefield, you gain 2 life.    T: Add W to your mana pool.",Lapsing,,,,
Kabira Evangel,"Whenever Kabira Evangel or another Ally enters the battlefield under your control, you may choose a color.  If you do, Allies you control gain protection from the chosen color until end of turn.",Optional,,,,
Kabira Vindicator,Level up 2W.    [LEVEL 2-4 ~ Other creatures you control get +1/+1. ~ 3/6]    [LEVEL 5+ ~ Other creatures you control get +2/+2. ~ 4/8],,,,,
Kaboom!,"Choose any number of target players.  For each of those players, reveal cards from the top of your library until you reveal a nonland card.  Kaboom deals damage equal to that card's converted mana cost to that player, then you put the revealed cards on the bottom of your library in any order.",,,,,
Kabuto Moth,Flying.    T: Target creature gets +1/+2 until end of turn.,,,,,
Kaervek the Merciless,"Whenever an opponent casts a spell, Kaervek the Merciless deals damage to target creature or player equal to that spell's converted mana cost.",Lapsing,,,,
Kaervek's Hex,Kaervek's Hex deals 1 damage to each nonblack creature and an additional 1 damage to each green creature.,,,,,
Kaervek's Purge,"Destroy target creature with converted mana cost X.  If that creature dies this way, Kaervek's Purge deals damage equal to the creature's power to the creature's controller.",,,,,
Kaervek's Spite,"As an additional cost to cast Kaervek's Spite, sacrifice all permanents you control and discard your hand.    Target player loses 5 life.",,,,,
Kaervek's Torch,"As long as Kaervek's Torch is on the stack, spells that target it cost 2 more to cast.    Kaervek's Torch deals X damage to target creature or player.",,,,,
"Kagemaro, First to Suffer","Kagemaro, First to Suffer's power and toughness are each equal to the number of cards in your hand.    B, Sacrifice Kagemaro: All creatures get -X/-X until end of turn, where X is the number of cards in your hand.",,,,,
Kagemaro's Clutch,"Enchant creature.    Enchanted creature gets -X/-X, where X is the number of cards in your hand.",,,,,
"Kaho, Minamo Historian","When Kaho, Minamo Historian enters the battlefield, search your library for up to three instant cards and exile them.  Then shuffle your library.    X, T: You may cast a card with converted mana cost X exiled with Kaho without paying its mana cost.",Optional,,,,
Kaijin of the Vanishing Touch,"Defender.    Whenever Kaijin of the Vanishing Touch blocks a creature, return that creature to its owner's hand at end of combat.",No visual effect,Mandatory,,,
Kalastria Highborn,"Whenever Kalastria Highborn or another Vampire you control dies, you may pay B.  If you do, target player loses 2 life and you gain 2 life.",Optional,,,,
Kaleidostone,"When Kaleidostone enters the battlefield, draw a card.    5, T, Sacrifice Kaleidostone: Add WUBRG to your mana pool.",Mandatory,,,,
"Kalitas, Bloodchief of Ghet","BBB, T: Destroy target creature.  If that creature dies this way, put a black Vampire creature token onto the battlefield.  Its power is equal to that creature's power and its toughness is equal to that creature's toughness.",,,,,
Kalonian Behemoth,Shroud,,,,,
"Kamahl, Fist of Krosa",G: Target land becomes a 1/1 creature until end of turn.  It's still a land.    2GGG: Creatures you control get +3/+3 and gain trample until end of turn.,,,,,
"Kamahl, Pit Fighter","Haste.    T: Kamahl, Pit Fighter deals 3 damage to target creature or player.",,,,,
Kamahl's Desire,Enchant creature.    Enchanted creature has first strike.    Threshold - Enchanted creature gets +3/+0 as long as seven or more cards are in your graveyard.,,,,,
Kamahl's Sledge,"Kamahl's Sledge deals 4 damage to target creature.    Threshold - If seven or more cards are in your graveyard, instead Kamahl's Sledge deals 4 damage to that creature and 4 damage to that creature's controller.",,,,,
Kamahl's Summons,Each player may reveal any number of creature cards from his or her hand.  Then each player puts a 2/2 green Bear creature token onto the battlefield for each card he or she revealed this way.,,,,,
Kami of Ancient Law,Sacrifice Kami of Ancient Law: Destroy target enchantment.,,,,,
Kami of Empty Graves,Soulshift 3,Optional,,,,
Kami of False Hope,Sacrifice Kami of False Hope: Prevent all combat damage that would be dealt this turn.,,,,,
Kami of Fire's Roar,"Whenever you cast a Spirit or Arcane spell, target creature can't block this turn.",Lapsing,,,,
Kami of Lunacy,"Flying, soulshift 5",Optional,,,,
Kami of Old Stone,,,,,,
Kami of Tattered Shoji,"Whenever you cast a Spirit or Arcane spell, Kami of Tattered Shoji gains flying until end of turn.",No visual effect,,,,
Kami of the Crescent Moon,"At the beginning of each player's draw step, that player draws an additional card.",Mandatory,,,,
Kami of the Honored Dead,"Flying.    Whenever Kami of the Honored Dead is dealt damage, you gain that much life.    Soulshift 6",Lapsing,Optional,,,
Kami of the Hunt,"Whenever you cast a Spirit or Arcane spell, Kami of the Hunt gets +1/+1 until end of turn.",No visual effect,,,,
Kami of the Painted Road,"Whenever you cast a Spirit or Arcane spell, Kami of the Painted Road gains protection from the color of your choice until end of turn.",Lapsing,,,,
Kami of the Palace Fields,"Flying, first strike, soulshift 5",Optional,,,,
Kami of the Tended Garden,"At the beginning of your upkeep, sacrifice Kami of the Tended Garden unless you pay G.    Soulshift 3",Mandatory,Optional,,,
Kami of the Waning Moon,"Flying.    Whenever you cast a Spirit or Arcane spell, target creature gains fear until end of turn.",Lapsing,,,,
Kami of Twisted Reflection,Sacrifice Kami of Twisted Reflection: Return target creature you control to its owner's hand.,,,,,
"Kangee, Aerie Keeper","Kicker X2, flying.    When Kangee, Aerie Keeper enters the battlefield, if it was kicked, put X feather counters on it.    Other Bird creatures get +1/+1 for each feather counter on Kangee, Aerie Keeper.",,,,,
"Karador, Ghost Chieftain","Karador, Ghost Chieftain costs 1 less to cast for each creature card in your graveyard.    During each of your turns, you may cast one creature card from your graveyard.",,,,,
Karakas,T: Add W to your mana pool.    T: Return target legendary creature to its owner's hand.,,,,,
Kargan Dragonlord,"Level up R.    [LEVEL 4-7 ~ Flying ~ 4/4]    [LEVEL 8+ ~ Flying, trample.    R: Kargan Dragonlord gets +1/+0 until end of turn. ~ 8/8]",,,,,
Karma,"At the beginning of each player's upkeep, Karma deals damage to that player equal to the number of Swamps he or she controls.",Mandatory,,,,
Karmic Guide,"Flying, protection from black, echo 3WW.    When Karmic Guide enters the battlefield, return target creature card from your graveyard to the battlefield.",,,,,
Karmic Justice,"Whenever a spell or ability an opponent controls destroys a noncreature permanent you control, you may destroy target permanent that opponent controls.",,,,,
Karn Liberated,"+4: Target player exiles a card from his or her hand.    -3: Exile target permanent.    -14: Restart the game, leaving in exile all non-Aura permanent cards exiled with Karn Liberated.  Then put those cards onto the battlefield under your control.",,,,,
"Karn, Silver Golem","Whenever Karn, Silver Golem blocks or becomes blocked, it gets -4/+4 until end of turn.    1: Target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn.",,,,,
Karn's Touch,Target noncreature artifact becomes an artifact creature with power and toughness each equal to its converted mana cost until end of turn.,,,,,
"Karona, False God","Haste.    At the beginning of each player's upkeep, that player untaps Karona, False God and gains control of it.    Whenever Karona attacks, creatures of the creature type of your choice get +3/+3 until end of turn.",,,,,
Karona's Zealot,"Morph 3WW.    When Karona's Zealot is turned face up, all damage that would be dealt to it this turn is dealt to target creature instead.",,,,,
Karoo,"Karoo enters the battlefield tapped.    When Karoo enters the battlefield, sacrifice it unless you return an untapped Plains you control to its owner's hand.    T: Add 1W to your mana pool.",,,,,
Karoo Meerkat,Protection from blue,,,,,
Karplusan Forest,T: Add 1 to your mana pool.    T: Add R or G to your mana pool.  Karplusan Forest deals 1 damage to you.,,,,,
Karplusan Giant,Tap an untapped snow land you control: Karplusan Giant gets +1/+1 until end of turn.,,,,,
Karplusan Minotaur,"Cumulative upkeep - Flip a coin.    Whenever you win a coin flip, Karplusan Minotaur deals 1 damage to target creature or player.    Whenever you lose a coin flip, Karplusan Minotaur deals 1 damage to target creature or player of an opponent's choice.",Mandatory,Lapsing,Mandatory,,
Karplusan Strider,Karplusan Strider can't be the target of blue or black spells.,,,,,
Karplusan Wolverine,"Whenever Karplusan Wolverine becomes blocked, you may have it deal 1 damage to target creature or player.",Optional,,,,
Karplusan Yeti,T: Karplusan Yeti deals damage equal to its power to target creature.  That creature deals damage equal to its power to Karplusan Yeti.,,,,,
"Karrthus, Tyrant of Jund","Flying, haste.    When Karrthus, Tyrant of Jund enters the battlefield, gain control of all Dragons, then untap all Dragons.    Other Dragon creatures you control have haste.",Lapsing,,,,
Karstoderm,"Karstoderm enters the battlefield with five +1/+1 counters on it.    Whenever an artifact enters the battlefield, remove a +1/+1 counter from Karstoderm.",Mandatory,,,,
Kashi-Tribe Elite,"Legendary Snakes you control have shroud.    Whenever Kashi-Tribe Elite deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.",Lapsing,,,,
Kashi-Tribe Reaver,"Whenever Kashi-Tribe Reaver deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.    1G: Regenerate Kashi-Tribe Reaver.",Lapsing,,,,
Kashi-Tribe Warriors,"Whenever Kashi-Tribe Warriors deals combat damage to a creature, tap that creature and it doesn't untap during its controller's next untap step.",Lapsing,,,,
Kasimir the Lone Wolf,,,,,,
Katabatic Winds,"Phasing.    Creatures with flying can't attack or block, and their activated abilities with T in their costs can't be activated.",,,,,
"Kataki, War's Wage","All artifacts have ""At the beginning of your upkeep, sacrifice this artifact unless you pay 1.""",Mandatory,,,,
Kathari Bomber,"Flying.    When Kathari Bomber deals combat damage to a player, put two 1/1 red Goblin creature tokens onto the battlefield and sacrifice Kathari Bomber.    Unearth 3BR",Mandatory,Mandatory,,,
Kathari Remnant,Flying.    B: Regenerate Kathari Remnant.    Cascade,Mandatory,,,,
Kathari Screecher,"Flying, unearth 2U",Mandatory,Mandatory,,,
Kavu Aggressor,"Kicker 4.    Kavu Aggressor can't block.    If Kavu Aggressor was kicked, it enters the battlefield with a +1/+1 counter on it.",,,,,
Kavu Chameleon,Kavu Chameleon can't be countered.    G: Kavu Chameleon becomes the color of your choice until end of turn.,,,,,
Kavu Climber,"When Kavu Climber enters the battlefield, draw a card.",Mandatory,,,,
Kavu Glider,W: Kavu Glider gets +0/+1 until end of turn.    U: Kavu Glider gains flying until end of turn.,,,,,
Kavu Howler,"When Kavu Howler enters the battlefield, reveal the top four cards of your library.  Put all Kavu cards revealed this way into your hand and the rest on the bottom of your library in any order.",,,,,
Kavu Lair,"Whenever a creature with power 4 or greater enters the battlefield, its controller draws a card.",,,,,
Kavu Mauler,"Trample.    Whenever Kavu Mauler attacks, it gets +1/+1 until end of turn for each other attacking Kavu.",,,,,
Kavu Monarch,"Kavu creatures have trample.    Whenever another Kavu enters the battlefield, put a +1/+1 counter on Kavu Monarch.",,,,,
Kavu Predator,"Trample.    Whenever an opponent gains life, put that many +1/+1 counters on Kavu Predator.",Lapsing,,,,
Kavu Primarch,"Convoke, kicker 4.    If Kavu Primarch was kicked, it enters the battlefield with four +1/+1 counters on it.",,,,,
Kavu Recluse,T: Target land becomes a Forest until end of turn.,,,,,
Kavu Runner,Kavu Runner has haste as long as no opponent controls a white or blue creature.,,,,,
Kavu Scout,Domain - Kavu Scout gets +1/+0 for each basic land type among land types you control.,,,,,
Kavu Titan,"Kicker 2G.    If Kavu Titan was kicked, it enters the battlefield with three +1/+1 counters on it and with trample.",,,,,
Kaysa,Green creatures you control get +1/+1.,,,,,
Kazandu Blademaster,"First strike, vigilance.    Whenever Kazandu Blademaster or another Ally enters the battlefield under your control, you may put a +1/+1 counter on Kazandu Blademaster.",Optional,,,,
Kazandu Refuge,"Kazandu Refuge enters the battlefield tapped.    When Kazandu Refuge enters the battlefield, you gain 1 life.    T: Add R or G to your mana pool.",Lapsing,,,,
Kazandu Tuskcaller,Level up 1G.    [LEVEL 2-5 ~ T: Put a 3/3 green Elephant creature onto the battlefield. ~ 1/1]    [LEVEL 6+ ~ T: Put two 3/3 green Elephant creature tokens onto the battlefield. ~ 1/1],,,,,
Kazuul Warlord,"Whenever Kazuul Warlord or another Ally enters the battlefield under your control, you may put a +1/+1 counter on each Ally creature you control.",Optional,,,,
"Kazuul, Tyrant of the Cliffs","Whenever a creature an opponent controls attacks, if you're the defending player, put a 3/3 red Ogre creature token onto the battlefield unless that creature's controller pays 3.",Lapsing,,,,
Kederekt Creeper,Deathtouch.    Kederekt Creeper can't be blocked except by two or more creatures.,,,,,
Kederekt Leviathan,"When Kederekt Leviathan enters the battlefield, return all other nonland permanents to their owners' hands.    Unearth 6U",Mandatory,Mandatory,,,
Kederekt Parasite,"Whenever an opponent draws a card, if you control a red permanent, you may have Kederekt Parasite deal 1 damage to that player.",Optional,,,,
Keen Sense,"Enchant creature.    Whenever enchanted creature deals damage to an opponent, you may draw a card.",Optional,,,,
Keeneye Aven,"Flying, cycling 2",,,,,
Keen-Eyed Archers,Reach,,,,,
Keening Banshee,"Flying.    When Keening Banshee enters the battlefield, target creature gets -2/-2 until end of turn.",Lapsing,,,,
Keening Stone,"5, T: Target player puts the top X cards of his or her library into his or her graveyard, where X is the number of cards in that player's graveyard.",,,,,
Keep Watch,Draw a card for each attacking creature.,,,,,
Keeper of Kookus,R: Keeper of Kookus gains protection from red until end of turn.,,,,,
Keeper of Progenitus,"Whenever a player taps a Mountain, Forest, or Plains for mana, that player adds one mana to his or her mana pool of any type that land produced.",No visual effect,,,,
Keeper of the Beasts,"G, T: Choose target opponent who controlled more creatures than you did as you activated this ability.  Put a 2/2 green Beast creature token onto the battlefield.",,,,,
Keeper of the Dead,"B, T: Choose target opponent who had at least two fewer creature cards in his or her graveyard than you did as you activated this ability.  Destroy target nonblack creature he or she controls.",,,,,
Keeper of the Flame,"R, T: Choose target opponent who had more life than you did as you activated this ability.  Keeper of the Flame deals 2 damage to him or her.",,,,,
Keeper of the Light,"W, T: Choose target opponent who had more life than you did as you activated this ability.  You gain 3 life.",,,,,
Keeper of the Mind,"U, T: Choose target opponent who had at least two more cards in hand than you did as you activated this ability.  Draw a card.",,,,,
Keeper of the Nine Gales,"Flying.    T, Tap two untapped Birds you control: Return target permanent to its owner's hand.",,,,,
Keeper of Tresserhorn,"Whenever Keeper of Tresserhorn attacks and isn't blocked, it assigns no combat damage this turn and defending player loses 2 life.",,,,,
Keepers of the Faith,,,,,,
Kei Takahashi,T: Prevent the next 2 damage that would be dealt to target creature this turn.,,,,,
"Keiga, the Tide Star","Flying.    When Keiga, the Tide Star dies, gain control of target creature.",Lapsing,,,,
Keldon Arsonist,"1, Sacrifice two lands: Destroy target land.",,,,,
Keldon Battlewagon,"Trample.    Keldon Battlewagon can't block.    When Keldon Battlewagon attacks, sacrifice it at end of combat.    Tap an untapped creature you control: Keldon Battlewagon gets +X/+0 until end of turn, where X is the power of the creature tapped this way.",,,,,
Keldon Berserker,"Whenever Keldon Berserker attacks, if you control no untapped lands, it gets +3/+0 until end of turn.",,,,,
Keldon Champion,"Haste, echo 2RR.    When Keldon Champion enters the battlefield, it deals 3 damage to target player.",,,,,
Keldon Firebombers,"When Keldon Firebombers enters the battlefield, each player sacrifices all lands he or she controls except for three.",,,,,
Keldon Halberdier,First strike.    Suspend 4 - R,Mandatory,Mandatory,,,
Keldon Mantle,Enchant creature.    B: Regenerate enchanted creature.    R: Enchanted creature gets +1/+0 until end of turn.    G: Enchanted creature gains trample until end of turn.,,,,,
Keldon Marauders,"Vanishing 2.    When Keldon Marauders enters the battlefield or leaves the battlefield, it deals 1 damage to target player.",Mandatory,Mandatory,Lapsing,,
Keldon Megaliths,"Keldon Megaliths enters the battlefield tapped.    T: Add R to your mana pool.    Hellbent - 1R, T: Keldon Megaliths deals 1 damage to target creature or player.  Activate this ability only if you have no cards in hand.",,,,,
Keldon Necropolis,"T: Add 1 to your mana pool.    4R, T, Sacrifice a creature: Keldon Necropolis deals 2 damage to target creature or player.",,,,,
Keldon Twilight,"At the beginning of each player's end step, if no creatures attacked this turn, that player sacrifices a creature he or she controlled since the beginning of the turn.",,,,,
Keldon Vandals,"Echo 2R.    When Keldon Vandals enters the battlefield, destroy target artifact.",,,,,
Keldon Warlord,Keldon Warlord's power and toughness are each equal to the number of non-Wall creatures you control.,,,,,
Kelinore Bat,Flying,,,,,
Kelsinko Ranger,1W: Target green creature gains first strike until end of turn.,,,,,
"Kemba, Kha Regent","At the beginning of your upkeep, put a 2/2 white Cat creature token onto the battlefield for each Equipment attached to Kemba, Kha Regent.",Lapsing,,,,
Kemba's Legion,Vigilance.    Kemba's Legion can block an additional creature for each Equipment attached to Kemba's Legion.,,,,,
Kemba's Skyguard,"Flying.    When Kemba's Skyguard enters the battlefield, you gain 2 life.",Lapsing,,,,
Kemuri-Onna,"When Kemuri-Onna enters the battlefield, target player discards a card.    Whenever you cast a Spirit or Arcane spell, you may return Kemuri-Onna to its owner's hand.",Lapsing,Optional,,,
"Kentaro, the Smiling Cat","Bushido 1.    You may pay X rather than pay the mana cost for Samurai spells you cast, where X is that spell's converted mana cost.",No visual effect,,,,
Kessig Cagebreakers,"Whenever Kessig Cagebreakers attacks, put a 2/2 green Wolf creature token onto the battlefield tapped and attacking for each creature card in your graveyard.",Lapsing,,,,
Kessig Malcontents,"When Kessig Malcontents enters the battlefield, it deals damage to target player equal to the number of Humans you control.",Lapsing,,,,
Kessig Recluse,"Reach, deathtouch",,,,,
Kessig Wolf,1R: Kessig Wolf gains first strike until end of turn.,,,,,
Kessig Wolf Run,"T: Add 1 to your mana pool.    XRG, T: Target creature gets +X/+0 and gains trample until end of turn.",,,,,
Kezzerdrix,"First strike.    At the beginning of your upkeep, if your opponents control no creatures, Kezzerdrix deals 4 damage to you.",,,,,
Khabál Ghoul,"At the beginning of each end step, put a +1/+1 counter on Khabál Ghoul for each creature that died this turn.",,,,,
Khalni Garden,"Khalni Garden enters the battlefield tapped.    When Khalni Garden enters the battlefield, put a 0/1 green Plant creature token onto the battlefield.    T: Add G to your mana pool.",Lapsing,,,,
Khalni Gem,"When Khalni Gem enters the battlefield, return two lands you control to their owner's hand.    T: Add two mana of any one color to your mana pool.",Mandatory,,,,
Khalni Heart Expedition,"Landfall - Whenever a land enters the battlefield under your control, you may put a quest counter on Khalni Heart Expedition.    Remove three quest counters from Khalni Heart Expedition and sacrifice it: Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle your library.",Optional,,,,
Khalni Hydra,Khalni Hydra costs G less to cast for each green creature you control.    Trample,,,,,
Kher Keep,"T: Add 1 to your mana pool.    1R, T: Put a 0/1 red Kobold creature token named Kobolds of Kher Keep onto the battlefield.",,,,,
"Kiki-Jiki, Mirror Breaker",Haste.    T: Put a token that's a copy of target nonlegendary creature you control onto the battlefield.  That token has haste.  Sacrifice it at the beginning of the next end step.,Mandatory,,,,
"Kiku, Night's Flower","2BB, T: Target creature deals damage to itself equal to its power.",,,,,
Kiku's Shadow,Target creature deals damage to itself equal to its power.,,,,,
Kill Switch,"2, T: Tap all other artifacts.  They don't untap during their controllers' untap steps for as long as Kill Switch remains tapped.",,,,,
Killer Bees,Flying.    G: Killer Bees gets +1/+1 until end of turn.,,,,,
Killer Instinct,"At the beginning of your upkeep, reveal the top card of your library.  If it's a creature card, put it onto the battlefield.  That creature gains haste until end of turn.  Sacrifice it at the beginning of the next end step.",Lapsing,Mandatory,,,
Killer Whale,U: Killer Whale gains flying until end of turn.,,,,,
Killing Wave,"For each creature, its controller sacrifices it unless he or she pays X life.",,,,,
Kill-Suit Cultist,"Kill-Suit Cultist attacks each turn if able.    B, Sacrifice Kill-Suit Cultist: The next time damage would be dealt to target creature this turn, destroy that creature instead.",,,,,
Kiln Fiend,"Whenever you cast an instant or sorcery spell, Kiln Fiend gets +3/+0 until end of turn.",No visual effect,,,,
Kiln Walker,"Whenever Kiln Walker attacks, it gets +3/+0 until end of turn.",No visual effect,,,,
Kilnmouth Dragon,"Amplify 3, flying.    T: Kilnmouth Dragon deals damage equal to the number of +1/+1 counters on it to target creature or player.",,,,,
Kindercatch,,,,,,
Kindle,"Kindle deals X damage to target creature or player, where X is 2 plus the number of cards named Kindle in all graveyards.",,,,,
Kindle the Courage,"Discard a card at random.  If you do, Kindle the Carnage deals damage equal to that card's converted mana cost to each creature.  You may repeat this process any number of times.",,,,,
Kindled Fury,Target creature gets +1/+0 and gains first strike until end of turn.,,,,,
King Cheetah,Flash,,,,,
King Crab,"1U, T: Put target green creature on top of its owner's library.",,,,,
King Suleiman,T: Destroy target Djinn or Efreet.,,,,,
Kingfisher,"Flying.    When Kingfisher dies, draw a card.",,,,,
King's Assassin,"T: Destroy target tapped creature.  Activate this ability only during your turn, before attackers are declared.",,,,,
Kinsbaile Balloonist,"Flying.    Whenever Kinsbaile Balloonist attacks, you may have target creature gain flying until end of turn.",Optional,,,,
Kinsbaile Borderguard,"Kinsbaile Borderguard enters the battlefield with a +1/+1 counter on it for each other Kithkin you control.    When Kinsbaile Borderguard dies, put a 1/1 white Kithkin Soldier creature token onto the battlefield for each counter on it.",Lapsing,,,,
Kinsbaile Cavalier,Knight creatures you control have double strike.,,,,,
Kinsbaile Skirmisher,"When Kinsbaile Skirmisher enters the battlefield, target creature gets +1/+1 until end of turn.",Lapsing,,,,
Kinscaer Harpoonist,"Flying.    When Kinscaer Harpoonist attacks, you may have target creature lose flying until end of turn.",Optional,,,,
"Kira, Great Glass-Spinner","Flying.    Creatures you control have ""Whenever this creature becomes the target of a spell or ability for the first time in a turn, counter that spell or ability.""",Mandatory,,,,
Kird Ape,Kird Ape gets +1/+2 as long as you control a Forest.,,,,,
Kiri-Onna,"When Kiri-Onna enters the battlefield, return target creature to its owner's hand.    Whenever you cast a Spirit or Arcane spell, you may return Kiri-Onna to its owner's hand.",Mandatory,Optional,,,
